"","Year","State","irrigated_sum","non_irrigated_sum","total","pc_irr","pc_non_irr"
"247",1991,"NEW MEXICO",166.6,25.7,192.3,0.866354654186168,0.133645345813833
"248",1991,"NORTH DAKOTA",124,85.9,209.9,0.59075750357313,0.40924249642687
"249",1991,"OKLAHOMA",139.4,75,214.4,0.650186567164179,0.349813432835821
"250",1991,"SOUTH DAKOTA",126,70.8,196.8,0.640243902439024,0.359756097560976
"251",1991,"TEXAS",145.3,73.8,219.1,0.663167503423094,0.336832496576905
"252",1991,"WYOMING",119,0,119,1,0
"253",1992,"COLORADO",156.5,65.5,222,0.704954954954955,0.295045045045045
"254",1992,"KANSAS",166.6,113.8,280.4,0.594151212553495,0.405848787446505
"255",1992,"MONTANA",110,0,110,1,0
"256",1992,"NEBRASKA",143.5,117.2,260.7,0.550441120061373,0.449558879938627
"257",1992,"NEW MEXICO",162.3,36.2,198.5,0.817632241813602,0.182367758186398
"258",1992,"NORTH DAKOTA",85.7,60.2,145.9,0.587388622344071,0.412611377655929
"259",1992,"OKLAHOMA",171.4,95.8,267.2,0.641467065868264,0.358532934131737
"260",1992,"SOUTH DAKOTA",110,82.5,192.5,0.571428571428571,0.428571428571429
"261",1992,"TEXAS",174.9,75.7,250.6,0.697924980047885,0.302075019952115
"262",1992,"WYOMING",99.2,34,133.2,0.744744744744745,0.255255255255255
"263",1993,"COLORADO",128,51,179,0.715083798882682,0.284916201117318
"264",1993,"KANSAS",141.7,66.5,208.2,0.68059558117195,0.31940441882805
"265",1993,"MONTANA",105,0,105,1,0
"266",1993,"NEBRASKA",110.9,90,200.9,0.552015928322549,0.447984071677451
"267",1993,"NEW MEXICO",167.5,39.4,206.9,0.809569840502658,0.190430159497342
"268",1993,"NORTH DAKOTA",56.3,43.6,99.9,0.563563563563564,0.436436436436436
"269",1993,"OKLAHOMA",141,54,195,0.723076923076923,0.276923076923077
"270",1993,"SOUTH DAKOTA",102,60.6,162.6,0.627306273062731,0.372693726937269
"271",1993,"TEXAS",153.3,76.3,229.6,0.667682926829268,0.332317073170732
"272",1993,"WYOMING",80.2,33.5,113.7,0.705364995602463,0.294635004397537
"273",1994,"COLORADO",163,42,205,0.795121951219512,0.204878048780488
"274",1994,"KANSAS",170,90,260,0.653846153846154,0.346153846153846
"275",1994,"MONTANA",135,0,135,1,0
"276",1994,"NEBRASKA",152.6,113,265.6,0.574548192771084,0.425451807228916
"277",1994,"NEW MEXICO",153.3,24.3,177.6,0.863175675675676,0.136824324324324
"278",1994,"NORTH DAKOTA",122.5,97.1,219.6,0.557832422586521,0.442167577413479
"279",1994,"OKLAHOMA",135,71.7,206.7,0.653120464441219,0.346879535558781
"280",1994,"SOUTH DAKOTA",140,106.2,246.2,0.568643379366369,0.431356620633631
"281",1994,"TEXAS",150.3,83,233.3,0.644234890698671,0.355765109301329
"282",1994,"WYOMING",122.4,26,148.4,0.824797843665768,0.175202156334232
"283",1995,"COLORADO",121.5,34.5,156,0.778846153846154,0.221153846153846
"284",1995,"KANSAS",143,70,213,0.671361502347418,0.328638497652582
"285",1995,"MONTANA",120,0,120,1,0
"286",1995,"NEBRASKA",130.1,73,203.1,0.640571147218119,0.359428852781881
"287",1995,"NEW MEXICO",161.2,10,171.2,0.941588785046729,0.058411214953271
"288",1995,"NORTH DAKOTA",101.4,76.2,177.6,0.570945945945946,0.429054054054054
"289",1995,"OKLAHOMA",153.6,72.8,226.4,0.678445229681979,0.321554770318021
"290",1995,"SOUTH DAKOTA",118,76.5,194.5,0.606683804627249,0.393316195372751
"291",1995,"TEXAS",148.5,81.6,230.1,0.645371577574967,0.354628422425033
"292",1995,"WYOMING",105,40,145,0.724137931034483,0.275862068965517
