"","state","year","value","total","avg_gdp","perc","region"
"193","Kansas","1980",1341.7,28298.2,1341.7,0.0474129096550311,"mid"
"194","Kansas","1981",1870.5,31978.3,1870.5,0.0584927904235059,"mid"
"195","Kansas","1982",1925.7,33491.4,1925.7,0.0574983428581666,"mid"
"196","Kansas","1983",1404.1,35257.1,1404.1,0.0398246027041362,"mid"
"197","Kansas","1984",1940.5,38442.1,1940.5,0.0504785118398839,"mid"
"198","Kansas","1985",2032.3,40658.3,2032.3,0.0499848739371789,"mid"
"199","Kansas","1986",1755,41794.8,1755,0.0419908696775675,"mid"
"200","Kansas","1987",1910.5,44163.8,1910.5,0.0432594115542594,"mid"
"201","Kansas","1988",1975.4,46698.1,1975.4,0.0423015069135575,"mid"
"202","Kansas","1989",2006.9,48814,2006.9,0.0411132052280084,"mid"
"203","Kansas","1990",2506.6,51873.7,2506.6,0.0483212109411899,"mid"
"204","Kansas","1991",2146,53980.7,2146,0.0397549494541568,"mid"
"205","Kansas","1992",2817.9,56901.7,2817.9,0.0495222462597778,"mid"
"206","Kansas","1993",2374.1,58953.2,2374.1,0.0402709267690304,"mid"
"207","Kansas","1994",2972.7,63304.1,2972.7,0.0469590437270256,"mid"
"208","Kansas","1995",2145.1,65281.9,2145.1,0.0328590313701041,"mid"
"209","Kansas","1996",3161.9,69616.1,3161.9,0.0454190912734267,"mid"
"210","Kansas","1997",3016.1,74146.8,3016.1,0.0406774129159991,"mid"
"211","Kentucky","1963",470.4,8355.1,470.4,0.0563009419396536,"mid"
"212","Kentucky","1964",397,8773.9,397,0.0452478373357344,"mid"
"213","Kentucky","1965",471.6,9518.1,471.6,0.0495477038484572,"mid"
"214","Kentucky","1966",500.1,10378,500.1,0.048188475621507,"mid"
"215","Kentucky","1967",516.3,11041.2,516.3,0.0467612216063471,"mid"
"216","Kentucky","1968",519.1,12212.4,519.1,0.042505977531034,"mid"
"217","Kentucky","1969",579.7,13206.2,579.7,0.0438960488255516,"mid"
"218","Kentucky","1970",568.3,13942.7,568.3,0.0407596806931226,"mid"
"219","Kentucky","1971",627.6,15568.2,627.6,0.0403129456199175,"mid"
"220","Kentucky","1972",732.3,16915.3,732.3,0.04329216744604,"mid"
"221","Kentucky","1973",883.1,18903.1,883.1,0.046717205114505,"mid"
"222","Kentucky","1974",1006.5,21173.4,1006.5,0.047536059395279,"mid"
"223","Kentucky","1975",907.9,22809.9,907.9,0.0398028926036502,"mid"
"224","Kentucky","1976",1030.8,26040.1,1030.8,0.0395851014397026,"mid"
"225","Kentucky","1977",1129.9,29176.5,1129.9,0.0387263722516409,"mid"
"226","Kentucky","1978",1186,32682.5,1186,0.0362885336189092,"mid"
"227","Kentucky","1979",1420.3,35838,1420.3,0.0396311178079134,"mid"
"228","Kentucky","1980",1354.5,37017,1354.5,0.0365912958910771,"mid"
"229","Kentucky","1981",1866.4,41068.1,1866.4,0.0454464657483546,"mid"
"230","Kentucky","1982",1824,42183.7,1824,0.0432394503090056,"mid"
"231","Kentucky","1983",1199.1,44091.8,1199.1,0.0271955329562413,"mid"
"232","Kentucky","1984",1992,49344.1,1992,0.0403695679929313,"mid"
"233","Kentucky","1985",1755,51892.8,1755,0.0338197206548885,"mid"
"234","Kentucky","1986",1513.4,53199,1513.4,0.0284479031560744,"mid"
"235","Kentucky","1987",1624.4,56282.2,1624.4,0.0288617005021126,"mid"
"236","Kentucky","1988",1629.4,61850.5,1629.4,0.0263441686000922,"mid"
"237","Kentucky","1989",1981.1,65525.5,1981.1,0.0302340310260891,"mid"
"238","Kentucky","1990",1969.9,68412.1,1969.9,0.0287946138183158,"mid"
"239","Kentucky","1991",1973.4,71679.2,1973.4,0.0275309992299021,"mid"
"240","Kentucky","1992",2231.9,77531.4,2231.9,0.0287870462806037,"mid"
"241","Kentucky","1993",1958.2,81618.1,1958.2,0.0239922272143066,"mid"
"242","Kentucky","1994",2141.5,87645.7,2141.5,0.0244336002793063,"mid"
"243","Kentucky","1995",1715.3,91914.7,1715.3,0.0186618680145831,"mid"
"244","Kentucky","1996",2219.7,96616.8,2219.7,0.0229742653451574,"mid"
"245","Kentucky","1997",2309.5,103621.2,2309.5,0.0222879101959831,"mid"
"246","Minnesota","1963",831.2,10744.6,831.2,0.0773597900340636,"north"
"247","Minnesota","1964",661,11353.4,661,0.0582204449768351,"north"
"248","Minnesota","1965",888.1,12479.8,888.1,0.0711629994070418,"north"
"249","Minnesota","1966",978.2,13746.6,978.2,0.0711594139641802,"north"
"250","Minnesota","1967",945.9,14616.2,945.9,0.0647158632202624,"north"
"251","Minnesota","1968",966.2,16148.6,966.2,0.0598318120456263,"north"
"252","Minnesota","1969",1028.2,17680.8,1028.2,0.0581534772182254,"north"
"253","Minnesota","1970",1235.2,18699.5,1235.2,0.0660552421187732,"north"
"254","Minnesota","1971",1215.1,20035.4,1215.1,0.0606476536530341,"north"
"255","Minnesota","1972",1355.7,21924.9,1355.7,0.0618338053993405,"north"
"256","Minnesota","1973",2709.9,26001,2709.9,0.104222914503288,"north"
"257","Minnesota","1974",2314.3,27689.2,2314.3,0.0835813241263742,"north"
"258","Minnesota","1975",2087.5,29683,2087.5,0.070326449482869,"north"
"259","Minnesota","1976",1730.6,32839.9,1730.6,0.0526980898236596,"north"
"260","Minnesota","1977",2508.2,36830.4,2508.2,0.0681013510578218,"north"
"261","Minnesota","1978",2780.5,41641,2780.5,0.0667731322494657,"north"
"262","Minnesota","1979",2907,46861.2,2907,0.0620342628869939,"north"
"263","Minnesota","1980",2785.4,50218.6,2785.4,0.0554655048129578,"north"
"264","Minnesota","1981",3246,55404.3,3246,0.0585875103556944,"north"
"265","Minnesota","1982",2963.7,57472,2963.7,0.0515677199331849,"north"
"266","Minnesota","1983",1956.5,61950.4,1956.5,0.0315817169864924,"north"
"267","Minnesota","1984",3305.5,71368.6,3305.5,0.0463158868185729,"north"
"268","Minnesota","1985",3070.5,75831.7,3070.5,0.0404909820035684,"north"
"269","Minnesota","1986",2938.3,79449.7,2938.3,0.0369831478281227,"north"
"270","Minnesota","1987",3092,85364.8,3092,0.0362210184994283,"north"
"271","Minnesota","1988",2324.1,91896.4,2324.1,0.0252904357515637,"north"
"272","Minnesota","1989",3529.5,98312.7,3529.5,0.0359007534123262,"north"
"273","Minnesota","1990",3627.5,102756.6,3627.5,0.0353018686877534,"north"
"274","Minnesota","1991",2939.3,106102.5,2939.3,0.0277024575292759,"north"
"275","Minnesota","1992",3088.6,114517.8,3088.6,0.0269704796983526,"north"
"276","Minnesota","1993",1550.7,117947.4,1550.7,0.0131473860381831,"north"
"277","Minnesota","1994",3074.8,128167.2,3074.8,0.0239905373605728,"north"
"278","Minnesota","1995",2402.1,135124.1,2402.1,0.0177769916691397,"north"
"279","Minnesota","1996",4119.4,145880.3,4119.4,0.0282382199652729,"north"
"280","Minnesota","1997",3085,156649.5,3085,0.0196936472826278,"north"
"281","Missouri","1963",601,13613.1,601,0.044148650931823,"mid"
"282","Missouri","1964",528.9,14454,528.9,0.0365919468659195,"mid"
"283","Missouri","1965",701.9,15624.6,701.9,0.0449227500224006,"mid"
"284","Missouri","1966",612.1,16843.1,612.1,0.0363412910924949,"mid"
"285","Missouri","1967",642.6,17842.6,642.6,0.0360149305594476,"mid"
"286","Missouri","1968",707.9,19711.2,707.9,0.0359135922724136,"mid"
"287","Missouri","1969",696.5,21095.1,696.5,0.0330171461619049,"mid"
"288","Missouri","1970",787.6,22229.5,787.6,0.0354303965451315,"mid"
"289","Missouri","1971",902.3,24244.7,902.3,0.0372163813122043,"mid"
"290","Missouri","1972",1042,26414.4,1042,0.0394481797807257,"mid"
"291","Missouri","1973",1636.3,29274.8,1636.3,0.0558944894585104,"mid"
"292","Missouri","1974",1257,30467.9,1257,0.0412565355669409,"mid"
"293","Missouri","1975",1357.9,33001.4,1357.9,0.0411467392292448,"mid"
"294","Missouri","1976",1252.2,37211,1252.2,0.0336513396576281,"mid"
"295","Missouri","1977",1514.3,41149.6,1514.3,0.0367998716876956,"mid"
"296","Missouri","1978",1825.9,46176.1,1825.9,0.0395421007837388,"mid"
"297","Missouri","1979",2280.4,50600.7,2280.4,0.0450665702253131,"mid"
"298","Missouri","1980",1510,52419.9,1510,0.0288058542652695,"mid"
"299","Missouri","1981",2155.1,57762.9,2155.1,0.0373094148666358,"mid"
"300","Missouri","1982",1781.2,60698.6,1781.2,0.0293449931299898,"mid"
"301","Missouri","1983",1140.3,65538,1140.3,0.017399066190607,"mid"
"302","Missouri","1984",1749.3,74538.8,1749.3,0.0234683144885617,"mid"
"303","Missouri","1985",1997.8,77912,1997.8,0.0256417496662902,"mid"
"304","Missouri","1986",1685.9,83330.3,1685.9,0.020231536427926,"mid"
"305","Missouri","1987",1786.5,88911.9,1786.5,0.0200929234444433,"mid"
"306","Missouri","1988",1661.2,95760.1,1661.2,0.0173475173898106,"mid"
"307","Missouri","1989",2014,101411.9,2014,0.0198596022754726,"mid"
"308","Missouri","1990",1955.9,103565.7,1955.9,0.0188855962929812,"mid"
"309","Missouri","1991",1810.7,109161.6,1810.7,0.0165873347404215,"mid"
"310","Missouri","1992",2069.1,115288.4,2069.1,0.0179471655431075,"mid"
"311","Missouri","1993",1572.2,118905.6,1572.2,0.0132222536196781,"mid"
"312","Missouri","1994",2035.7,130566.7,2035.7,0.0155912648477751,"mid"
"313","Missouri","1995",1619.5,140059.8,1619.5,0.0115629181249723,"mid"
"314","Missouri","1996",2558.7,148256.8,2558.7,0.0172585675665467,"mid"
